"sep=,"
Bosch Connected Devices and Solutions
"CISS Raw Data Log File in csv Format, Generated by: CISS Python Scripts v03.01.00"
Explanation: In this log file the measurement values (raw-data) from the sensors are reported.
Accelerometer Measurement Range: ±16g
Accelerometer Sampling Rate: disabled
Accelerometer Unit: mg
Magnetometer Measurement Range: ±1300µT (x and y-Axis); ±2500µT (z-Axis)
Magnetometer Sampling Rate: disabled
Magnetometer Unit: Micro Tesla (µT)
Gyroscope Measurement Range: ±2000°/s
Gyroscope Sampling Rate: disabled
Gyroscope Unit: Degree/Second (°/s)
Light Measurement Range: 0 - 2112800 lux
Light Sampling Rate: disabled
Light Unit: lux
Temperature Measurement Range: -20ºC – +80°C
Temperature Sampling Rate: 1.0Hz (1000.0ms)
Temperature Units: Degree Celcius (°C)
Humidity Measurement Range: 20 - 90% rH (non-condensing)
Humidity Sampling Rate: 1.0Hz (1000.0ms)
Humidity Units: % Relative Humidity (rH)
Pressure Measurement Range: 300 - 1100 hPa
Pressure Sampling Rate: 1.0Hz (1000.0ms)
Pressure Units: hPa
"Noise/Acustic Measurement Range: 0 - 4096 (not available via USB, available only via BLE)"
Noise/Acustic Sampling Rate: disabled
Noise/Acustic Units: no unit (0-100% with 0-4096 range)
 
Unix TimeStamp (ms),Measurement Type,Data / x_axis,y_axis,z_axis
1626922470905,Temperature,22.3
1626922470932,Humidity,43.03
1626922470937,Pressure,996.98
1626922471904,Temperature,22.3
1626922471934,Humidity,43.03
1626922471941,Pressure,996.91
1626922472904,Temperature,22.3
1626922472937,Humidity,43.03
1626922472944,Pressure,996.96
1626922473904,Temperature,22.3
1626922473934,Humidity,43.03
1626922473941,Pressure,996.96
1626922474905,Temperature,22.3
1626922474944,Humidity,43.02
1626922474963,Pressure,996.96
1626922475904,Temperature,22.3
1626922475950,Humidity,43.03
1626922475961,Pressure,996.98
1626922476904,Temperature,22.3
1626922476934,Humidity,43.02
1626922476941,Pressure,996.95
1626922477904,Temperature,22.3
1626922477929,Humidity,43.02
1626922477938,Pressure,996.94
1626922478904,Temperature,22.3
1626922478934,Humidity,43.02
1626922478941,Pressure,996.92
1626922479904,Temperature,22.3
1626922479943,Humidity,43.03
1626922479962,Pressure,996.98
1626922480903,Temperature,22.3
1626922480936,Humidity,43.02
1626922480951,Pressure,996.95
1626922481903,Temperature,22.3
1626922481940,Humidity,43.03
1626922481947,Pressure,996.95
1626922482903,Temperature,22.3
1626922482929,Humidity,43.02
1626922482932,Pressure,996.92
1626922483903,Temperature,22.3
1626922483934,Humidity,43.01
1626922483941,Pressure,996.95
1626922484904,Temperature,22.3
1626922484942,Humidity,43.02
1626922484952,Pressure,996.92
1626922485903,Temperature,22.3
1626922485934,Humidity,43.03
1626922485946,Pressure,996.92
1626922486904,Temperature,22.3
1626922486934,Humidity,43.06
1626922486941,Pressure,996.98
1626922487904,Temperature,22.3
1626922487926,Humidity,43.03
1626922487940,Pressure,996.92
1626922488904,Temperature,22.3
1626922488934,Humidity,43.03
1626922488941,Pressure,997.01
1626922489903,Temperature,22.3
1626922489945,Humidity,43.02
1626922489962,Pressure,997.01
1626922490902,Temperature,22.3
1626922490928,Humidity,43.02
1626922490935,Pressure,996.97
1626922491903,Temperature,22.3
1626922491931,Humidity,43.02
1626922491940,Pressure,996.98
1626922492903,Temperature,22.3
1626922492935,Humidity,43.02
1626922492942,Pressure,996.98
1626922493903,Temperature,22.3
1626922493939,Humidity,43.02
1626922493946,Pressure,996.95
1626922494903,Temperature,22.3
1626922494931,Humidity,43.02
1626922494940,Pressure,997.02
1626922495903,Temperature,22.4
1626922495940,Humidity,43.02
1626922495946,Pressure,996.97
1626922496903,Temperature,22.4
1626922496931,Humidity,43.02
1626922496940,Pressure,997.02
1626922497903,Temperature,22.3
1626922497940,Humidity,43.03
1626922497947,Pressure,996.99
1626922498902,Temperature,22.3
1626922498924,Humidity,43.01
1626922498941,Pressure,996.98
1626922499902,Temperature,22.3
1626922499936,Humidity,43.01
1626922499944,Pressure,996.95
1626922500902,Temperature,22.3
1626922500930,Humidity,43.02
1626922500942,Pressure,996.95
1626922501902,Temperature,22.3
1626922501924,Humidity,43.02
1626922501945,Pressure,996.98
1626922502902,Temperature,22.4
1626922502932,Humidity,43.03
1626922502940,Pressure,996.98
1626922503902,Temperature,22.3
1626922503930,Humidity,43.02
1626922503950,Pressure,996.92
1626922504902,Temperature,22.3
1626922504941,Humidity,43.01
1626922504948,Pressure,996.95
1626922505902,Temperature,22.3
1626922505928,Humidity,43.01
1626922505935,Pressure,996.98
1626922506902,Temperature,22.3
1626922506940,Humidity,43.0
1626922506947,Pressure,996.91
1626922507902,Temperature,22.3
1626922507941,Humidity,43.01
1626922507952,Pressure,996.99
1626922508901,Temperature,22.3
1626922508928,Humidity,43.02
1626922508935,Pressure,996.94
1626922509901,Temperature,22.3
1626922509924,Humidity,43.01
1626922509940,Pressure,996.95
1626922510901,Temperature,22.3
1626922510936,Humidity,43.02
1626922510944,Pressure,996.98
1626922511901,Temperature,22.3
1626922511924,Humidity,43.01
1626922511941,Pressure,996.99
1626922512901,Temperature,22.3
1626922512941,Humidity,43.01
1626922512950,Pressure,996.96
1626922513901,Temperature,22.3
1626922513931,Humidity,43.01
1626922513950,Pressure,996.97
1626922514901,Temperature,22.4
1626922514924,Humidity,43.01
1626922514941,Pressure,996.94
1626922515901,Temperature,22.4
1626922515936,Humidity,43.01
1626922515945,Pressure,996.95
1626922516901,Temperature,22.3
1626922516935,Humidity,43.01
1626922516943,Pressure,996.98
1626922517900,Temperature,22.3
1626922517939,Humidity,43.02
1626922517949,Pressure,997.01
1626922518900,Temperature,22.3
1626922518931,Humidity,43.0
1626922518938,Pressure,996.94
1626922519900,Temperature,22.3
1626922519930,Humidity,43.0
1626922519937,Pressure,996.95
1626922520900,Temperature,22.3
1626922520930,Humidity,43.01
1626922520937,Pressure,996.97
1626922521900,Temperature,22.4
1626922521924,Humidity,43.02
1626922521933,Pressure,996.99
1626922522900,Temperature,22.3
